created_at,entry_id,temperatura_ambiente,humedad_ambiente,temperatura_suelo,humedad_suelo,latitude,longitude,elevation,status
2024-11-13T14:01:37+00:00,1380,23.8,68,19.44,80,,,,
2024-11-13T14:01:54+00:00,1381,23.8,69,19.44,81,,,,
2024-11-13T14:02:11+00:00,1382,23.8,69,19.44,80,,,,
2024-11-13T14:02:28+00:00,1383,23.8,69,19.5,81,,,,
2024-11-13T14:02:45+00:00,1384,23.8,69,19.44,81,,,,
2024-11-13T14:03:02+00:00,1385,23.8,69,19.5,81,,,,
2024-11-13T14:03:19+00:00,1386,23.8,69,19.5,81,,,,
2024-11-13T14:03:37+00:00,1387,23.8,69,19.5,81,,,,
2024-11-13T14:03:53+00:00,1388,23.8,69,19.5,81,,,,
2024-11-13T14:04:10+00:00,1389,23.8,69,19.5,81,,,,
2024-11-13T14:04:27+00:00,1390,23.8,69,19.5,81,,,,
2024-11-13T14:04:43+00:00,1391,24,69,19.56,81,,,,
2024-11-13T14:05:00+00:00,1392,24.1,69,19.5,81,,,,
2024-11-13T14:05:17+00:00,1393,24.1,69,19.5,81,,,,
2024-11-13T14:05:34+00:00,1394,24.1,69,19.56,81,,,,
2024-11-13T14:05:50+00:00,1395,24.1,69,19.56,81,,,,
2024-11-13T14:06:07+00:00,1396,24.1,69,19.56,81,,,,
2024-11-13T14:06:24+00:00,1397,24.1,69,19.56,81,,,,
2024-11-13T14:06:40+00:00,1398,24.1,69,19.62,81,,,,
2024-11-13T14:06:57+00:00,1399,24.1,70,19.62,81,,,,
2024-11-13T14:07:13+00:00,1400,24.1,70,19.62,81,,,,
2024-11-13T14:07:30+00:00,1401,24.1,70,19.69,81,,,,
2024-11-13T14:07:47+00:00,1402,24.1,69,19.62,81,,,,
2024-11-13T14:08:03+00:00,1403,24.1,69,19.5,0,,,,
2024-11-13T14:08:20+00:00,1404,24.1,69,19.44,21,,,,
2024-11-13T14:08:37+00:00,1405,24.1,68,19.44,73,,,,
